64 32 8 8
64 32 12 12
64 32 16 16
64 32 25 25
64 32 32 32
64 32 48 48
64 32 64 64
64 64 8 8
64 64 12 12
64 64 16 16
64 64 25 25
64 64 32 32
64 64 48 48
64 64 64 64
64 128 8 8
64 128 12 12
64 128 16 16
64 128 25 25
64 128 32 32
64 128 48 48
64 128 64 64
64 256 8 8
64 256 12 12
64 256 16 16
64 256 25 25
64 256 32 32
64 256 48 48
64 256 64 64
64 512 8 8
64 512 12 12
64 512 16 16
64 512 25 25
64 512 32 32
64 512 48 48
64 512 64 64

64 48 8 8
64 48 12 12
64 48 16 16
64 48 25 25
64 48 32 32
64 48 48 48
64 48 64 64
64 96 8 8
64 96 12 12
64 96 16 16
64 96 25 25
64 96 32 32
64 96 48 48
64 96 64 64
